20140428105342 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-04-28T11:12:03Z      190724      180913         9393          0(8.54)     0(242)             0             6       129307        191424          883       23487          34
2014-04-28T11:12:23Z      190724      180913         9393          0(8.39)     0(237)             0             6       129318        191424          883       23487          34
2014-04-28T11:12:43Z      190724      180913         9393          0(8.24)     0(233)             0             6       129330        191424          883       23487          34
2014-04-28T11:13:03Z      190724      180913         9393           0(8.1)     0(229)             0             6       129340        191424          883       23487          34
2014-04-28T11:13:23Z      190724      180913         9393          0(7.96)     0(225)             0             6       129361        191424          883       23487          34
2014-04-28T11:13:43Z      190724      180913         9393          0(7.83)     0(221)             0             6       129373        191424          883       23487          34
2014-04-28T11:14:03Z      190724      180913         9393           0(7.7)     0(218)             0             6       129383        191424          883       23487          34
2014-04-28T11:14:23Z      190726      180914         9394       0.05(7.58)     0(214)             0             5       129506        191424          883       23487          34
2014-04-28T11:14:43Z      190726      180914         9394          0(7.46)     0(211)             0             5       129518        191424          883       23487          34
2014-04-28T11:15:03Z      190726      180914         9394          0(7.34)     0(208)             0             5       129528        191424      1,059.6       23487          34
2014-04-28T11:15:23Z      190726      180914         9394          0(7.23)     0(204)             0             5       129550        191424      1,059.6       23487          34
2014-04-28T11:15:43Z      190726      180914         9394          0(7.12)     0(201)             0             5       129562        191424      1,059.6       23487          34
2014-04-28T11:16:03Z      190937      181124         9395       0.05(7.01)     9(198)             0             4       139860        191424        1,060       23487          34
2014-04-28T11:16:23Z      190937      181124         9395          0(6.91)     0(195)             0             4       139880        191424        1,060       23487          34
2014-04-28T11:16:43Z      190937      181123         9396       0.05(6.81)     0(193)             0             3       139920        191424        1,325       23487          34
2014-04-28T11:17:03Z      190937      181123         9396          0(6.71)     0(190)             0             3       139930        191424     1,766.67       23487          34
2014-04-28T11:17:23Z      190937      181123         9396          0(6.62)     0(187)             0             3       139945        191424     1,766.67       23487          34
2014-04-28T11:17:43Z      190937      181123         9396          0(6.52)     0(185)             0             3       139956        191424     1,766.67       23487          34
2014-04-28T11:18:03Z      190937      181123         9396          0(6.44)     0(182)             0             3       139968        191424     1,766.67       23487          34
2014-04-28T11:18:23Z      190937      181123         9396          0(6.35)     0(180)             0             3       139979        191424     1,766.67       23487          34
2014-04-28T11:18:43Z      190937      181123         9396          0(6.26)     0(177)             0             3       139991        191424     1,766.67       23487          34
2014-04-28T11:19:03Z      190937      181123         9396          0(6.18)     0(175)             0             3       140002        191424     1,766.67       23487          34
2014-04-28T11:19:23Z      190937      181123         9396           0(6.1)     0(173)             0             3       140018        191424     1,766.67       23487          34
2014-04-28T11:19:43Z      190937      181123         9396          0(6.02)     0(170)             0             3       140029        191424     1,766.67       23487          34
2014-04-28T11:20:03Z      190937      181123         9396          0(5.95)     0(168)             0             3       140040        191424     1,766.67       23487          34
2014-04-28T11:20:23Z      190937      181123         9396          0(5.87)     0(166)             0             3       140051        191424     1,766.67       23487          34
2014-04-28T11:20:43Z      190937      181122         9397        0.05(5.8)     0(164)             0             2       140956        191424     1,766.67       23487          34
2014-04-28T11:21:03Z      190937      181121         9398       0.05(5.73)     2(162)             0             1       140993        191424     1,766.67       23487          34
2014-04-28T11:21:23Z      190937      181121         9398          0(5.66)     0(160)             0             1       141005        191424        2,650       23487          34
2014-04-28T11:21:33Z      190937      181120         9399        0.1(5.63)    12(159)             0             0       141055        191424        5,300       23487          34
20140428112133 CRAWL PAUSED - Paused
